Date,Entry time,SPX price at entry,VIX at entry,Short strike,Long strike,Credit received,Contracts,Exit time,Exit price,PnL per contract,Total PnL,Win/Loss,Exit reason,Notes,Expiry,DTE,Short symbol,Long symbol
2016-06-22,09:45:00,2092.89,18.37,2025.0,2000.0,1.98,12,16:00:00,0.0,198.0,2376.0,Win,expiry,distance safe,2016-06-24,2,SPXW  160624P02025000,SPXW  160624P02000000
2016-06-27,09:45:00,2011.3,24.77,1940.0,1915.0,2.02,12,13:27:00,1.01,101.0,1212.0,Win,profit_target,mark<=target,2016-06-29,2,SPXW  160629P01940000,SPXW  160629P01915000
2016-06-29,09:45:00,2052.78,17.19,2015.0,1990.0,2.02,12,11:30:00,1.01,101.0,1212.0,Win,profit_target,mark<=target,2016-07-01,2,SPXW  160701P02015000,SPXW  160701P01990000
2016-09-12,09:45:00,2126.3,17.76,2085.0,2060.0,1.95,12,10:22:00,0.97,98.0,1176.0,Win,profit_target,mark<=target,2016-09-14,2,SPXW  160914P02085000,SPXW  160914P02060000
2016-09-21,09:45:00,2148.27,14.67,2105.0,2080.0,2.1,12,14:11:00,1.05,105.0,1260.0,Win,profit_target,mark<=target,2016-09-23,2,SPXW  160923P02105000,SPXW  160923P02080000
2016-09-26,09:45:00,2150.0,14.44,2110.0,2085.0,1.67,12,15:45:00,1.67,0.0,0.0,Win,eod_force_close,within 50pt,2016-09-28,2,SPXW  160928P02110000,SPXW  160928P02085000
2016-11-02,09:45:00,2108.47,18.93,2070.0,2045.0,1.6,12,15:45:00,1.38,22.0,264.0,Win,eod_force_close,within 50pt,2016-11-04,2,SPXW  161104P02070000,SPXW  161104P02045000
2016-11-07,09:45:00,2118.08,18.93,2035.0,2010.0,2.0,12,16:00:00,0.0,200.0,2400.0,Win,expiry,distance safe,2016-11-09,2,SPXW  161109P02035000,SPXW  161109P02010000
2016-11-09,09:45:00,2132.88,15.73,2085.0,2060.0,1.95,12,11:15:00,0.97,98.0,1176.0,Win,profit_target,mark<=target,2016-11-11,2,SPXW  161111P02085000,SPXW  161111P02060000
2018-02-05,09:45:00,2739.61,18.87,2680.0,2655.0,2.0,12,10:11:00,1.0,100.0,1200.0,Win,profit_target,mark<=target,2018-02-07,2,SPXW  180207P02680000,SPXW  180207P02655000
2018-02-07,09:45:00,2700.67,24.59,2620.0,2595.0,2.1,12,10:51:00,1.05,105.0,1260.0,Win,profit_target,mark<=target,2018-02-09,2,SPXW  180209P02620000,SPXW  180209P02595000
2018-02-12,09:45:00,2653.67,26.58,2565.0,2540.0,2.1,12,13:53:00,1.05,105.0,1260.0,Win,profit_target,mark<=target,2018-02-14,2,SPXW  180214P02565000,SPXW  180214P02540000
2018-02-14,09:45:00,2654.11,20.95,2580.0,2555.0,2.0,12,10:21:00,1.0,100.0,1200.0,Win,profit_target,mark<=target,2018-02-16,2,SPXW  180216P02580000,SPXW  180216P02555000
2018-02-28,09:45:00,2752.35,17.75,2700.0,2675.0,1.5,12,11:49:00,3.02,-152.0,-1824.0,Loss,stop_loss,mark>=stop,2018-03-02,2,SPXW  180302P02700000,SPXW  180302P02675000
2018-03-05,09:45:00,2682.9,20.11,2615.0,2590.0,1.75,12,10:44:00,0.88,87.0,1044.0,Win,profit_target,mark<=target,2018-03-07,2,SPXW  180307P02615000,SPXW  180307P02590000
2018-03-07,09:45:00,2713.57,19.07,2660.0,2635.0,2.05,12,15:07:00,1.02,103.0,1236.0,Win,profit_target,mark<=target,2018-03-09,2,SPXW  180309P02660000,SPXW  180309P02635000
2018-03-21,09:45:00,2714.53,18.02,2665.0,2640.0,2.1,12,14:01:00,1.05,105.0,1260.0,Win,profit_target,mark<=target,2018-03-23,2,SPXW  180323P02665000,SPXW  180323P02640000
2018-03-26,09:45:00,2634.64,21.82,2565.0,2540.0,2.05,12,11:17:00,4.1,-205.0,-2460.0,Loss,stop_loss,mark>=stop,2018-03-28,2,SPXW  180328P02565000,SPXW  180328P02540000
2018-03-28,09:45:00,2606.97,23.09,2540.0,2515.0,1.62,12,10:48:00,3.35,-173.0,-2076.0,Loss,stop_loss,mark>=stop,2018-03-29,1,SPXW  180329P02540000,SPXW  180329P02515000
2018-04-02,09:45:00,2633.79,20.6,2565.0,2540.0,1.52,12,10:13:00,3.05,-153.0,-1836.0,Loss,stop_loss,mark>=stop,2018-04-04,2,SPXW  180404P02565000,SPXW  180404P02540000
2018-04-04,09:45:00,2586.21,22.82,2500.0,2475.0,2.12,12,11:32:00,1.06,106.0,1272.0,Win,profit_target,mark<=target,2018-04-06,2,SPXW  180406P02500000,SPXW  180406P02475000
2018-04-09,09:45:00,2617.11,21.59,2545.0,2520.0,2.1,12,10:46:00,1.05,105.0,1260.0,Win,profit_target,mark<=target,2018-04-11,2,SPXW  180411P02545000,SPXW  180411P02520000
2018-04-11,09:45:00,2647.91,20.35,2580.0,2555.0,1.5,12,16:00:00,0.0,150.0,1800.0,Win,expiry,distance safe,2018-04-13,2,SPXW  180413P02580000,SPXW  180413P02555000
2018-04-16,09:45:00,2669.23,16.97,2620.0,2595.0,1.7,12,12:51:00,0.85,85.0,1020.0,Win,profit_target,mark<=target,2018-04-18,2,SPXW  180418P02620000,SPXW  180418P02595000
2018-04-23,09:45:00,2673.41,16.93,2625.0,2600.0,1.7,12,11:21:00,0.85,85.0,1020.0,Win,profit_target,mark<=target,2018-04-25,2,SPXW  180425P02625000,SPXW  180425P02600000
2018-04-25,09:45:00,2613.93,19.81,2550.0,2525.0,2.03,12,10:33:00,1.01,102.0,1224.0,Win,profit_target,mark<=target,2018-04-27,2,SPXW  180427P02550000,SPXW  180427P02525000
2018-05-02,09:45:00,2649.98,15.38,2600.0,2575.0,1.5,12,14:04:00,0.75,75.0,900.0,Win,profit_target,mark<=target,2018-05-04,2,SPXW  180504P02600000,SPXW  180504P02575000
2018-10-10,09:45:00,2863.35,17.2,2810.0,2785.0,1.85,12,11:05:00,3.8,-195.0,-2340.0,Loss,stop_loss,mark>=stop,2018-10-12,2,SPXW  181012P02810000,SPXW  181012P02785000
2018-10-15,09:45:00,2760.47,21.85,2675.0,2650.0,1.95,12,11:29:00,0.97,98.0,1176.0,Win,profit_target,mark<=target,2018-10-17,2,SPXW  181017P02675000,SPXW  181017P02650000
2018-10-17,09:45:00,2805.07,17.73,2750.0,2725.0,1.73,12,10:43:00,3.75,-202.0,-2424.0,Loss,stop_loss,mark>=stop,2018-10-19,2,SPXW  181019P02750000,SPXW  181019P02725000
2018-10-22,09:45:00,2767.4,19.54,2705.0,2680.0,2.12,12,16:00:00,0.0,212.0,2544.0,Win,expiry,distance safe,2018-10-24,2,SPXW  181024P02705000,SPXW  181024P02680000
2018-10-24,09:45:00,2738.3,20.43,2665.0,2640.0,1.9,12,11:05:00,3.9,-200.0,-2400.0,Loss,stop_loss,mark>=stop,2018-10-26,2,SPXW  181026P02665000,SPXW  181026P02640000
2018-10-29,09:45:00,2692.54,22.88,2610.0,2585.0,2.0,12,14:17:00,4.15,-215.0,-2580.0,Loss,stop_loss,mark>=stop,2018-10-31,2,SPXW  181031P02610000,SPXW  181031P02585000
2018-10-31,09:45:00,2716.75,21.87,2640.0,2615.0,2.05,12,13:46:00,1.02,103.0,1236.0,Win,profit_target,mark<=target,2018-11-02,2,SPXW  181102P02640000,SPXW  181102P02615000
2018-11-05,09:45:00,2727.09,20.03,2645.0,2620.0,1.93,12,16:00:00,0.0,193.0,2316.0,Win,expiry,distance safe,2018-11-07,2,SPXW  181107P02645000,SPXW  181107P02620000
2018-11-07,09:45:00,2783.51,17.63,2730.0,2705.0,2.02,12,12:09:00,1.01,101.0,1212.0,Win,profit_target,mark<=target,2018-11-09,2,SPXW  181109P02730000,SPXW  181109P02705000
2018-11-12,09:45:00,2761.84,18.26,2710.0,2685.0,2.02,12,11:15:00,4.05,-203.0,-2436.0,Loss,stop_loss,mark>=stop,2018-11-14,2,SPXW  181114P02710000,SPXW  181114P02685000
2018-11-14,09:45:00,2745.19,19.47,2685.0,2660.0,2.05,12,11:02:00,4.1,-205.0,-2460.0,Loss,stop_loss,mark>=stop,2018-11-16,2,SPXW  181116P02685000,SPXW  181116P02660000
2018-11-19,09:45:00,2730.68,18.86,2675.0,2650.0,1.97,12,10:34:00,4.0,-203.0,-2436.0,Loss,stop_loss,mark>=stop,2018-11-21,2,SPXW  181121P02675000,SPXW  181121P02650000
2018-11-28,09:45:00,2693.49,18.88,2640.0,2615.0,2.05,12,12:06:00,1.02,103.0,1236.0,Win,profit_target,mark<=target,2018-11-30,2,SPXW  181130P02640000,SPXW  181130P02615000
2018-12-10,09:45:00,2636.25,23.28,2550.0,2525.0,2.0,12,10:41:00,4.0,-200.0,-2400.0,Loss,stop_loss,mark>=stop,2018-12-12,2,SPXW  181212P02550000,SPXW  181212P02525000
2018-12-12,09:45:00,2667.42,21.18,2595.0,2570.0,2.1,12,12:51:00,1.05,105.0,1260.0,Win,profit_target,mark<=target,2018-12-14,2,SPXW  181214P02595000,SPXW  181214P02570000
2018-12-17,09:45:00,2571.34,23.67,2490.0,2465.0,2.08,12,10:57:00,1.04,104.0,1248.0,Win,profit_target,mark<=target,2018-12-19,2,SPXW  181219P02490000,SPXW  181219P02465000
2018-12-19,09:45:00,2554.7,25.86,2465.0,2440.0,2.1,12,12:02:00,1.05,105.0,1260.0,Win,profit_target,mark<=target,2018-12-21,2,SPXW  181221P02465000,SPXW  181221P02440000
2018-12-31,09:45:00,2503.98,26.35,2440.0,2415.0,2.05,12,16:00:00,0.0,205.0,2460.0,Win,expiry,distance safe,2019-01-02,2,SPXW  190102P02440000,SPXW  190102P02415000
2019-01-02,09:45:00,2476.93,27.11,2385.0,2360.0,2.07,12,10:58:00,1.03,104.0,1248.0,Win,profit_target,mark<=target,2019-01-04,2,SPXW  190104P02385000,SPXW  190104P02360000
2019-01-07,09:45:00,2534.77,21.9,2470.0,2445.0,1.97,12,11:53:00,0.98,99.0,1188.0,Win,profit_target,mark<=target,2019-01-09,2,SPXW  190109P02470000,SPXW  190109P02445000
2019-01-09,09:45:00,2582.29,20.18,2515.0,2490.0,1.53,12,14:10:00,0.77,76.0,912.0,Win,profit_target,mark<=target,2019-01-11,2,SPXW  190111P02515000,SPXW  190111P02490000
2019-01-14,09:45:00,2578.58,19.58,2530.0,2505.0,1.88,12,13:21:00,0.94,94.0,1128.0,Win,profit_target,mark<=target,2019-01-16,2,SPXW  190116P02530000,SPXW  190116P02505000
2019-01-28,09:45:00,2635.74,19.78,2580.0,2555.0,1.88,12,14:51:00,0.94,94.0,1128.0,Win,profit_target,mark<=target,2019-01-30,2,SPXW  190130P02580000,SPXW  190130P02555000
2019-01-30,09:45:00,2654.15,18.97,2595.0,2570.0,2.1,12,14:01:00,1.05,105.0,1260.0,Win,profit_target,mark<=target,2019-02-01,2,SPXW  190201P02595000,SPXW  190201P02570000
2019-03-25,09:45:00,2798.09,17.09,2745.0,2720.0,2.05,12,11:29:00,1.02,103.0,1236.0,Win,profit_target,mark<=target,2019-03-27,2,SPXW  190327P02745000,SPXW  190327P02720000
2019-05-06,09:45:00,2910.46,16.94,2855.0,2830.0,2.03,12,11:21:00,1.01,102.0,1224.0,Win,profit_target,mark<=target,2019-05-08,2,SPXW  190508P02855000,SPXW  190508P02830000
2019-05-08,09:45:00,2880.89,20.21,2795.0,2770.0,2.05,12,11:01:00,1.02,103.0,1236.0,Win,profit_target,mark<=target,2019-05-10,2,SPXW  190510P02795000,SPXW  190510P02770000
2019-05-13,09:45:00,2833.04,19.48,2750.0,2725.0,1.95,12,13:22:00,3.9,-195.0,-2340.0,Loss,stop_loss,mark>=stop,2019-05-15,2,SPXW  190515P02750000,SPXW  190515P02725000
2019-05-15,09:45:00,2820.44,18.81,2755.0,2730.0,1.95,12,10:15:00,0.97,98.0,1176.0,Win,profit_target,mark<=target,2019-05-17,2,SPXW  190517P02755000,SPXW  190517P02730000
2019-05-20,09:45:00,2838.01,17.28,2775.0,2750.0,2.03,12,10:35:00,1.01,102.0,1224.0,Win,profit_target,mark<=target,2019-05-22,2,SPXW  190522P02775000,SPXW  190522P02750000
2019-05-29,09:45:00,2784.24,18.37,2725.0,2700.0,2.15,12,16:00:00,0.0,215.0,2580.0,Win,expiry,distance safe,2019-05-31,2,SPXW  190531P02725000,SPXW  190531P02700000
2019-06-03,09:45:00,2756.29,18.52,2700.0,2675.0,2.17,12,15:12:00,4.45,-228.0,-2736.0,Loss,stop_loss,mark>=stop,2019-06-05,2,SPXW  190605P02700000,SPXW  190605P02675000
2019-06-05,09:45:00,2812.57,17.12,2755.0,2730.0,1.9,12,13:08:00,0.95,95.0,1140.0,Win,profit_target,mark<=target,2019-06-07,2,SPXW  190607P02755000,SPXW  190607P02730000
2019-06-19,09:45:00,2917.82,15.24,2860.0,2835.0,2.08,12,14:05:00,1.04,104.0,1248.0,Win,profit_target,mark<=target,2019-06-21,2,SPXW  190621P02860000,SPXW  190621P02835000
2019-07-31,09:45:00,3015.58,14.2,2955.0,2930.0,1.93,12,14:50:00,4.4,-247.0,-2964.0,Loss,stop_loss,mark>=stop,2019-08-02,2,SPXW  190802P02955000,SPXW  190802P02930000
2019-08-05,09:45:00,2875.97,21.5,2790.0,2765.0,2.0,12,14:24:00,4.05,-205.0,-2460.0,Loss,stop_loss,mark>=stop,2019-08-07,2,SPXW  190807P02790000,SPXW  190807P02765000
2019-08-07,09:45:00,2836.97,23.12,2730.0,2705.0,2.05,12,10:33:00,1.02,103.0,1236.0,Win,profit_target,mark<=target,2019-08-09,2,SPXW  190809P02730000,SPXW  190809P02705000
2019-08-12,09:45:00,2895.37,20.11,2820.0,2795.0,1.92,12,16:00:00,0.0,192.0,2304.0,Win,expiry,distance safe,2019-08-14,2,SPXW  190814P02820000,SPXW  190814P02795000
2019-08-14,09:45:00,2881.22,20.51,2800.0,2775.0,2.02,12,11:17:00,4.1,-208.0,-2496.0,Loss,stop_loss,mark>=stop,2019-08-16,2,SPXW  190816P02800000,SPXW  190816P02775000
2019-08-19,09:45:00,2922.42,17.23,2865.0,2840.0,1.68,12,13:19:00,0.84,84.0,1008.0,Win,profit_target,mark<=target,2019-08-21,2,SPXW  190821P02865000,SPXW  190821P02840000
2019-08-21,09:45:00,2927.93,15.58,2870.0,2845.0,1.88,12,16:00:00,0.0,188.0,2256.0,Win,expiry,distance safe,2019-08-23,2,SPXW  190823P02870000,SPXW  190823P02845000
2019-08-26,09:45:00,2867.37,19.87,2785.0,2760.0,2.02,12,12:25:00,1.01,101.0,1212.0,Win,profit_target,mark<=target,2019-08-28,2,SPXW  190828P02785000,SPXW  190828P02760000
2019-08-28,09:45:00,2862.33,21.25,2785.0,2760.0,2.05,12,10:43:00,1.02,103.0,1236.0,Win,profit_target,mark<=target,2019-08-30,2,SPXW  190830P02785000,SPXW  190830P02760000
2019-09-04,09:45:00,2929.45,18.22,2875.0,2850.0,2.02,12,15:32:00,1.01,101.0,1212.0,Win,profit_target,mark<=target,2019-09-06,2,SPXW  190906P02875000,SPXW  190906P02850000
2019-09-18,09:45:00,2996.9,14.73,2940.0,2915.0,1.58,12,15:35:00,0.79,79.0,948.0,Win,profit_target,mark<=target,2019-09-20,2,SPXW  190920P02940000,SPXW  190920P02915000
2019-09-25,09:45:00,2968.65,17.12,2915.0,2890.0,1.73,12,13:54:00,0.86,87.0,1044.0,Win,profit_target,mark<=target,2019-09-27,2,SPXW  190927P02915000,SPXW  190927P02890000
2019-09-30,09:45:00,2970.55,16.92,2915.0,2890.0,1.5,12,11:27:00,0.75,75.0,900.0,Win,profit_target,mark<=target,2019-10-02,2,SPXW  191002P02915000,SPXW  191002P02890000
2019-10-02,09:45:00,2908.45,20.11,2835.0,2810.0,1.77,12,12:41:00,3.6,-183.0,-2196.0,Loss,stop_loss,mark>=stop,2019-10-04,2,SPXW  191004P02835000,SPXW  191004P02810000
2019-10-07,09:45:00,2938.84,18.16,2885.0,2860.0,2.08,12,11:02:00,1.04,104.0,1248.0,Win,profit_target,mark<=target,2019-10-09,2,SPXW  191009P02885000,SPXW  191009P02860000
2019-10-09,09:45:00,2913.8,19.55,2840.0,2815.0,1.93,12,13:01:00,0.96,97.0,1164.0,Win,profit_target,mark<=target,2019-10-11,2,SPXW  191011P02840000,SPXW  191011P02815000
2019-10-14,09:45:00,2964.23,15.76,2910.0,2885.0,1.6,12,11:38:00,0.8,80.0,960.0,Win,profit_target,mark<=target,2019-10-16,2,SPXW  191016P02910000,SPXW  191016P02885000
2020-01-27,09:45:00,3249.26,17.8,3170.0,3145.0,1.98,12,16:00:00,0.0,198.0,2376.0,Win,expiry,distance safe,2020-01-29,2,SPXW  200129P03170000,SPXW  200129P03145000
2020-01-29,09:45:00,3288.44,15.58,3225.0,3200.0,1.55,12,16:00:00,0.0,155.0,1860.0,Win,expiry,distance safe,2020-01-31,2,SPXW  200131P03225000,SPXW  200131P03200000
2020-02-03,09:45:00,3250.53,17.8,3170.0,3145.0,1.95,12,16:00:00,0.0,195.0,2340.0,Win,expiry,distance safe,2020-02-05,2,SPXW  200205P03170000,SPXW  200205P03145000
2020-02-24,09:45:00,3254.15,22.47,3160.0,3135.0,1.9,12,13:04:00,3.9,-200.0,-2400.0,Loss,stop_loss,mark>=stop,2020-02-26,2,SPXW  200226P03160000,SPXW  200226P03135000
2020-02-26,09:45:00,3171.96,24.96,3055.0,3030.0,1.95,12,12:18:00,3.9,-195.0,-2340.0,Loss,stop_loss,mark>=stop,2020-02-28,2,SPXW  200228P03055000,SPXW  200228P03030000
2020-05-18,09:45:00,2939.08,28.58,2850.0,2825.0,1.98,12,13:31:00,0.99,99.0,1188.0,Win,profit_target,mark<=target,2020-05-20,2,SPXW  200520P02850000,SPXW  200520P02825000
2020-05-20,09:45:00,2964.65,28.23,2885.0,2860.0,2.02,12,16:00:00,0.0,202.0,2424.0,Win,expiry,distance safe,2020-05-22,2,SPXW  200522P02885000,SPXW  200522P02860000
2020-05-27,09:45:00,3013.96,27.77,2935.0,2910.0,1.8,12,10:38:00,3.6,-180.0,-2160.0,Loss,stop_loss,mark>=stop,2020-05-29,2,SPXW  200529P02935000,SPXW  200529P02910000
2020-06-01,09:45:00,3042.51,29.57,2950.0,2925.0,2.1,12,12:37:00,1.05,105.0,1260.0,Win,profit_target,mark<=target,2020-06-03,2,SPXW  200603P02950000,SPXW  200603P02925000
2020-06-03,09:45:00,3105.83,26.56,3025.0,3000.0,1.75,12,14:38:00,0.88,87.0,1044.0,Win,profit_target,mark<=target,2020-06-05,2,SPXW  200605P03025000,SPXW  200605P03000000
2020-06-08,09:45:00,3210.27,25.02,3130.0,3105.0,1.82,12,15:59:00,0.91,91.0,1092.0,Win,profit_target,mark<=target,2020-06-10,2,SPXW  200610P03130000,SPXW  200610P03105000
2020-06-10,09:45:00,3204.08,27.67,3100.0,3075.0,2.0,12,15:31:00,1.0,100.0,1200.0,Win,profit_target,mark<=target,2020-06-12,2,SPXW  200612P03100000,SPXW  200612P03075000
2020-07-01,09:45:00,3117.23,29.49,3035.0,3010.0,1.72,12,14:15:00,0.86,86.0,1032.0,Win,profit_target,mark<=target,2020-07-02,1,SPXW  200702P03035000,SPXW  200702P03010000
2020-07-06,09:45:00,3170.46,27.8,3090.0,3065.0,1.65,12,16:00:00,0.0,165.0,1980.0,Win,expiry,distance safe,2020-07-08,2,SPXW  200708P03090000,SPXW  200708P03065000
2020-07-08,09:45:00,3163.83,28.39,3080.0,3055.0,2.08,12,16:00:00,0.0,208.0,2496.0,Win,expiry,distance safe,2020-07-10,2,SPXW  200710P03080000,SPXW  200710P03055000
2020-07-13,09:45:00,3208.39,27.67,3125.0,3100.0,1.57,12,15:23:00,3.15,-158.0,-1896.0,Loss,stop_loss,mark>=stop,2020-07-15,2,SPXW  200715P03125000,SPXW  200715P03100000
2020-07-15,09:45:00,3232.41,28.29,3140.0,3115.0,2.0,12,16:00:00,0.0,200.0,2400.0,Win,expiry,distance safe,2020-07-17,2,SPXW  200717P03140000,SPXW  200717P03115000
2020-07-22,09:45:00,3262.68,25.18,3180.0,3155.0,1.82,12,15:46:00,0.91,91.0,1092.0,Win,profit_target,mark<=target,2020-07-24,2,SPXW  200724P03180000,SPXW  200724P03155000
2020-07-27,09:45:00,3224.28,25.94,3140.0,3115.0,1.67,12,13:40:00,0.83,84.0,1008.0,Win,profit_target,mark<=target,2020-07-29,2,SPXW  200729P03140000,SPXW  200729P03115000
2020-07-29,09:45:00,3233.63,24.74,3150.0,3125.0,1.93,12,14:41:00,0.96,97.0,1164.0,Win,profit_target,mark<=target,2020-07-31,2,SPXW  200731P03150000,SPXW  200731P03125000
2020-09-09,09:45:00,3373.78,29.91,3255.0,3230.0,2.05,12,11:04:00,1.02,103.0,1236.0,Win,profit_target,mark<=target,2020-09-11,2,SPXW  200911P03255000,SPXW  200911P03230000
2020-09-14,09:45:00,3382.39,25.83,3285.0,3260.0,2.1,12,15:48:00,1.05,105.0,1260.0,Win,profit_target,mark<=target,2020-09-16,2,SPXW  200916P03285000,SPXW  200916P03260000
2020-09-16,09:45:00,3405.93,26.56,3315.0,3290.0,2.0,12,14:17:00,1.0,100.0,1200.0,Win,profit_target,mark<=target,2020-09-18,2,SPXW  200918P03315000,SPXW  200918P03290000
2020-09-21,09:45:00,3257.19,29.81,3150.0,3125.0,2.1,12,15:51:00,1.05,105.0,1260.0,Win,profit_target,mark<=target,2020-09-23,2,SPXW  200923P03150000,SPXW  200923P03125000
2020-09-23,09:45:00,3320.61,26.4,3235.0,3210.0,2.0,12,11:51:00,4.1,-210.0,-2520.0,Loss,stop_loss,mark>=stop,2020-09-25,2,SPXW  200925P03235000,SPXW  200925P03210000
2020-09-28,09:45:00,3338.69,26.73,3245.0,3220.0,1.95,12,13:35:00,0.97,98.0,1176.0,Win,profit_target,mark<=target,2020-09-30,2,SPXW  200930P03245000,SPXW  200930P03220000
2020-09-30,09:45:00,3350.92,25.82,3245.0,3220.0,2.1,12,11:21:00,1.05,105.0,1260.0,Win,profit_target,mark<=target,2020-10-02,2,SPXW  201002P03245000,SPXW  201002P03220000
2020-10-05,09:45:00,3379.51,28.95,3285.0,3260.0,1.93,12,12:54:00,0.96,97.0,1164.0,Win,profit_target,mark<=target,2020-10-07,2,SPXW  201007P03285000,SPXW  201007P03260000
2020-10-07,09:45:00,3402.58,28.99,3315.0,3290.0,2.02,12,14:18:00,1.01,101.0,1212.0,Win,profit_target,mark<=target,2020-10-09,2,SPXW  201009P03315000,SPXW  201009P03290000
2020-10-19,09:45:00,3501.13,27.66,3410.0,3385.0,1.5,12,11:23:00,3.25,-175.0,-2100.0,Loss,stop_loss,mark>=stop,2020-10-21,2,SPXW  201021P03410000,SPXW  201021P03385000
2020-10-21,09:45:00,3456.64,28.92,3370.0,3345.0,2.15,12,16:00:00,0.0,215.0,2580.0,Win,expiry,distance safe,2020-10-23,2,SPXW  201023P03370000,SPXW  201023P03345000
2020-10-26,09:45:00,3429.9,29.54,3340.0,3315.0,1.67,12,10:59:00,3.45,-178.0,-2136.0,Loss,stop_loss,mark>=stop,2020-10-28,2,SPXW  201028P03340000,SPXW  201028P03315000
2020-11-04,09:45:00,3417.27,29.92,3275.0,3250.0,2.0,12,10:07:00,1.0,100.0,1200.0,Win,profit_target,mark<=target,2020-11-06,2,SPXW  201106P03275000,SPXW  201106P03250000
