Date,Entry time,SPX price at entry,VIX at entry,Short strike,Long strike,Credit received,Contracts,Exit time,Exit price,PnL per contract,Total PnL,Win/Loss,Exit reason,Notes,Expiry,DTE,Short symbol,Long symbol
2020-11-09,09:45:00,3623.57,23.88,3520.0,3495.0,1.95,12,11:09:00,4.1,-215.0,-2580.0,Loss,stop_loss,mark>=stop,2020-11-11,2,SPXW  201111P03520000,SPXW  201111P03495000
2020-11-11,09:45:00,3567.77,23.86,3475.0,3450.0,1.7,12,16:00:00,0.0,170.0,2040.0,Win,expiry,distance safe,2020-11-13,2,SPXW  201113P03475000,SPXW  201113P03450000
2020-11-16,09:45:00,3610.56,23.27,3520.0,3495.0,1.63,12,11:16:00,0.81,82.0,984.0,Win,profit_target,mark<=target,2020-11-18,2,SPXW  201118P03520000,SPXW  201118P03495000
2020-12-21,09:45:00,3671.93,26.68,3565.0,3540.0,1.95,12,10:23:00,3.9,-195.0,-2340.0,Loss,stop_loss,mark>=stop,2020-12-23,2,SPXW  201223P03565000,SPXW  201223P03540000
2021-01-04,09:45:00,3754.27,24.0,3660.0,3635.0,1.7,12,10:52:00,3.45,-175.0,-2100.0,Loss,stop_loss,mark>=stop,2021-01-06,2,SPXW  210106P03660000,SPXW  210106P03635000
2021-01-06,09:45:00,3724.76,24.07,3630.0,3605.0,1.9,12,10:11:00,0.95,95.0,1140.0,Win,profit_target,mark<=target,2021-01-08,2,SPXW  210108P03630000,SPXW  210108P03605000
2021-01-11,09:45:00,3796.21,24.28,3700.0,3675.0,1.55,12,12:35:00,0.78,77.0,924.0,Win,profit_target,mark<=target,2021-01-13,2,SPXW  210113P03700000,SPXW  210113P03675000
2021-01-27,09:45:00,3775.15,28.69,3635.0,3610.0,2.0,12,10:21:00,1.0,100.0,1200.0,Win,profit_target,mark<=target,2021-01-29,2,SPXW  210129P03635000,SPXW  210129P03610000
2021-02-03,09:45:00,3833.51,24.84,3735.0,3710.0,1.55,12,13:38:00,0.78,77.0,924.0,Win,profit_target,mark<=target,2021-02-05,2,SPXW  210205P03735000,SPXW  210205P03710000
2021-02-24,09:45:00,3867.95,24.32,3765.0,3740.0,1.95,12,10:56:00,0.97,98.0,1176.0,Win,profit_target,mark<=target,2021-02-26,2,SPXW  210226P03765000,SPXW  210226P03740000
2021-03-01,09:45:00,3871.41,23.91,3770.0,3745.0,1.9,12,11:44:00,0.95,95.0,1140.0,Win,profit_target,mark<=target,2021-03-03,2,SPXW  210303P03770000,SPXW  210303P03745000
2021-03-03,09:45:00,3859.27,25.1,3740.0,3715.0,2.05,12,16:00:00,0.0,205.0,2460.0,Win,expiry,distance safe,2021-03-05,2,SPXW  210305P03740000,SPXW  210305P03715000
2021-03-08,09:45:00,3862.75,25.27,3740.0,3715.0,2.05,10,16:00:00,0.0,205.0,2050.0,Win,expiry,distance safe,2021-03-10,2,SPXW  210310P03740000,SPXW  210310P03715000
2021-03-10,09:45:00,3904.49,22.55,3805.0,3780.0,1.95,10,16:00:00,0.0,195.0,1950.0,Win,expiry,distance safe,2021-03-12,2,SPXW  210312P03805000,SPXW  210312P03780000
2021-03-15,09:45:00,3943.56,21.43,3840.0,3815.0,1.05,10,14:10:00,0.53,52.0,520.0,Win,profit_target,mark<=target,2021-03-17,2,SPXW  210317P03840000,SPXW  210317P03815000
2021-03-17,09:45:00,3947.8,20.75,3845.0,3820.0,1.4,10,14:11:00,0.7,70.0,700.0,Win,profit_target,mark<=target,2021-03-19,2,SPXW  210319P03845000,SPXW  210319P03820000
2021-03-22,09:45:00,3920.67,20.6,3820.0,3795.0,1.02,10,10:47:00,0.51,51.0,510.0,Win,profit_target,mark<=target,2021-03-24,2,SPXW  210324P03820000,SPXW  210324P03795000
2021-03-24,09:45:00,3930.44,19.74,3855.0,3830.0,1.57,10,15:35:00,3.2,-163.0,-1630.0,Loss,stop_loss,mark>=stop,2021-03-26,2,SPXW  210326P03855000,SPXW  210326P03830000
2021-03-29,09:45:00,3966.55,20.37,3865.0,3840.0,1.1,10,15:13:00,0.55,55.0,550.0,Win,profit_target,mark<=target,2021-03-31,2,SPXW  210331P03865000,SPXW  210331P03840000
2021-04-12,09:45:00,4125.89,17.46,4050.0,4025.0,1.02,10,15:40:00,0.51,51.0,510.0,Win,profit_target,mark<=target,2021-04-14,2,SPXW  210414P04050000,SPXW  210414P04025000
2021-04-21,09:45:00,4133.25,18.95,4055.0,4030.0,1.55,10,10:24:00,0.78,77.0,770.0,Win,profit_target,mark<=target,2021-04-23,2,SPXW  210423P04055000,SPXW  210423P04030000
2021-04-26,09:45:00,4191.25,17.8,4115.0,4090.0,1.23,10,16:00:00,0.0,123.0,1230.0,Win,expiry,distance safe,2021-04-28,2,SPXW  210428P04115000,SPXW  210428P04090000
2021-04-28,09:45:00,4190.71,17.31,4115.0,4090.0,1.3,10,14:47:00,0.65,65.0,650.0,Win,profit_target,mark<=target,2021-04-30,2,SPXW  210430P04115000,SPXW  210430P04090000
2021-05-03,09:45:00,4203.17,18.3,4125.0,4100.0,1.07,10,16:00:00,0.0,107.0,1070.0,Win,expiry,distance safe,2021-05-05,2,SPXW  210505P04125000,SPXW  210505P04100000
2021-05-05,09:45:00,4178.64,18.57,4100.0,4075.0,1.35,10,10:24:00,2.7,-135.0,-1350.0,Loss,stop_loss,mark>=stop,2021-05-07,2,SPXW  210507P04100000,SPXW  210507P04075000
2021-05-10,09:45:00,4228.39,17.64,4150.0,4125.0,1.2,10,14:31:00,2.4,-120.0,-1200.0,Loss,stop_loss,mark>=stop,2021-05-12,2,SPXW  210512P04150000,SPXW  210512P04125000
2021-05-12,09:45:00,4126.09,23.2,4020.0,3995.0,1.9,10,11:57:00,3.95,-205.0,-2050.0,Loss,stop_loss,mark>=stop,2021-05-14,2,SPXW  210514P04020000,SPXW  210514P03995000
2021-05-17,09:45:00,4163.71,20.23,4055.0,4030.0,1.35,10,16:00:00,0.0,135.0,1350.0,Win,expiry,distance safe,2021-05-19,2,SPXW  210519P04055000,SPXW  210519P04030000
2021-05-24,09:45:00,4184.2,19.45,4105.0,4080.0,1.35,10,12:37:00,0.68,67.0,670.0,Win,profit_target,mark<=target,2021-05-26,2,SPXW  210526P04105000,SPXW  210526P04080000
2021-05-26,09:45:00,4190.91,18.65,4115.0,4090.0,1.65,10,12:04:00,0.82,83.0,830.0,Win,profit_target,mark<=target,2021-05-28,2,SPXW  210528P04115000,SPXW  210528P04090000
2021-06-16,09:45:00,4246.28,16.75,4165.0,4140.0,1.4,10,14:03:00,3.1,-170.0,-1700.0,Loss,stop_loss,mark>=stop,2021-06-18,2,SPXW  210618P04165000,SPXW  210618P04140000
2021-06-21,09:45:00,4184.32,20.08,4075.0,4050.0,1.43,10,10:06:00,0.71,72.0,720.0,Win,profit_target,mark<=target,2021-06-23,2,SPXW  210623P04075000,SPXW  210623P04050000
2021-07-12,09:45:00,4370.74,16.64,4290.0,4265.0,1.05,10,12:17:00,0.53,52.0,520.0,Win,profit_target,mark<=target,2021-07-14,2,SPXW  210714P04290000,SPXW  210714P04265000
2021-07-19,09:45:00,4277.21,21.2,4170.0,4145.0,1.5,10,10:02:00,3.15,-165.0,-1650.0,Loss,stop_loss,mark>=stop,2021-07-21,2,SPXW  210721P04170000,SPXW  210721P04145000
2021-07-21,09:45:00,4343.86,18.58,4265.0,4240.0,1.57,10,12:47:00,0.79,78.0,780.0,Win,profit_target,mark<=target,2021-07-23,2,SPXW  210723P04265000,SPXW  210723P04240000
2021-07-26,09:45:00,4409.62,18.39,4330.0,4305.0,1.3,10,11:35:00,0.65,65.0,650.0,Win,profit_target,mark<=target,2021-07-28,2,SPXW  210728P04330000,SPXW  210728P04305000
2021-07-28,09:45:00,4395.78,19.29,4315.0,4290.0,1.78,10,14:17:00,0.89,89.0,890.0,Win,profit_target,mark<=target,2021-07-30,2,SPXW  210730P04315000,SPXW  210730P04290000
2021-08-02,09:45:00,4415.63,18.53,4335.0,4310.0,1.0,10,12:03:00,2.15,-115.0,-1150.0,Loss,stop_loss,mark>=stop,2021-08-04,2,SPXW  210804P04335000,SPXW  210804P04310000
2021-08-04,09:45:00,4409.24,18.63,4325.0,4300.0,1.2,10,14:19:00,0.6,60.0,600.0,Win,profit_target,mark<=target,2021-08-06,2,SPXW  210806P04325000,SPXW  210806P04300000
2021-09-08,09:45:00,4515.94,18.52,4430.0,4405.0,1.0,10,10:56:00,2.05,-105.0,-1050.0,Loss,stop_loss,mark>=stop,2021-09-10,2,SPXW  210910P04430000,SPXW  210910P04405000
2021-09-13,09:45:00,4476.15,19.72,4395.0,4370.0,1.7,10,16:00:00,0.0,170.0,1700.0,Win,expiry,distance safe,2021-09-15,2,SPXW  210915P04395000,SPXW  210915P04370000
2021-09-15,09:45:00,4442.51,20.02,4330.0,4305.0,1.25,10,12:00:00,0.62,63.0,630.0,Win,profit_target,mark<=target,2021-09-17,2,SPXW  210917P04330000,SPXW  210917P04305000
2021-09-20,09:45:00,4379.82,24.07,4260.0,4235.0,2.0,10,13:00:00,4.0,-200.0,-2000.0,Loss,stop_loss,mark>=stop,2021-09-22,2,SPXW  210922P04260000,SPXW  210922P04235000
2021-09-22,09:45:00,4370.38,23.17,4255.0,4230.0,2.0,10,10:57:00,1.0,100.0,1000.0,Win,profit_target,mark<=target,2021-09-24,2,SPXW  210924P04255000,SPXW  210924P04230000
2021-09-27,09:45:00,4441.41,18.97,4360.0,4335.0,1.43,10,11:05:00,0.71,72.0,720.0,Win,profit_target,mark<=target,2021-09-29,2,SPXW  210929P04360000,SPXW  210929P04335000
2021-09-29,09:45:00,4358.38,23.4,4240.0,4215.0,1.95,10,10:01:00,0.97,98.0,980.0,Win,profit_target,mark<=target,2021-10-01,2,SPXW  211001P04240000,SPXW  211001P04215000
2021-10-04,09:45:00,4340.54,22.34,4230.0,4205.0,2.07,10,10:36:00,4.5,-243.0,-2430.0,Loss,stop_loss,mark>=stop,2021-10-06,2,SPXW  211006P04230000,SPXW  211006P04205000
2021-10-06,09:45:00,4326.82,22.26,4215.0,4190.0,2.1,10,14:01:00,1.05,105.0,1050.0,Win,profit_target,mark<=target,2021-10-08,2,SPXW  211008P04215000,SPXW  211008P04190000
2021-10-11,09:45:00,4396.24,19.11,4310.0,4285.0,1.95,10,11:39:00,0.97,98.0,980.0,Win,profit_target,mark<=target,2021-10-13,2,SPXW  211013P04310000,SPXW  211013P04285000
2021-10-18,09:45:00,4459.91,17.25,4375.0,4350.0,1.23,10,10:45:00,0.61,62.0,620.0,Win,profit_target,mark<=target,2021-10-20,2,SPXW  211020P04375000,SPXW  211020P04350000
2021-11-01,09:45:00,4612.9,16.93,4525.0,4500.0,1.07,10,16:00:00,0.0,107.0,1070.0,Win,expiry,distance safe,2021-11-03,2,SPXW  211103P04525000,SPXW  211103P04500000
2021-11-03,09:45:00,4625.57,16.22,4540.0,4515.0,1.67,10,14:44:00,0.83,84.0,840.0,Win,profit_target,mark<=target,2021-11-05,2,SPXW  211105P04540000,SPXW  211105P04515000
2021-11-10,09:45:00,4671.14,18.16,4585.0,4560.0,1.2,10,10:20:00,0.6,60.0,600.0,Win,profit_target,mark<=target,2021-11-12,2,SPXW  211112P04585000,SPXW  211112P04560000
2021-11-29,09:45:00,4641.79,24.41,4525.0,4500.0,1.7,10,12:08:00,0.85,85.0,850.0,Win,profit_target,mark<=target,2021-12-01,2,SPXW  211201P04525000,SPXW  211201P04500000
2021-12-01,09:45:00,4618.6,23.75,4500.0,4475.0,1.75,10,10:58:00,0.88,87.0,870.0,Win,profit_target,mark<=target,2021-12-03,2,SPXW  211203P04500000,SPXW  211203P04475000
2021-12-06,09:45:00,4564.19,29.02,4410.0,4385.0,2.05,10,12:23:00,1.02,103.0,1030.0,Win,profit_target,mark<=target,2021-12-08,2,SPXW  211208P04410000,SPXW  211208P04385000
2021-12-08,09:45:00,4690.17,22.02,4570.0,4545.0,1.2,10,13:31:00,0.6,60.0,600.0,Win,profit_target,mark<=target,2021-12-10,2,SPXW  211210P04570000,SPXW  211210P04545000
2021-12-13,09:45:00,4701.33,20.01,4580.0,4555.0,1.18,10,16:00:00,0.0,118.0,1180.0,Win,expiry,distance safe,2021-12-15,2,SPXW  211215P04580000,SPXW  211215P04555000
2021-12-15,09:45:00,4625.71,22.87,4495.0,4470.0,1.95,10,14:14:00,0.97,98.0,980.0,Win,profit_target,mark<=target,2021-12-17,2,SPXW  211217P04495000,SPXW  211217P04470000
2021-12-20,09:45:00,4561.04,25.3,4425.0,4400.0,1.95,10,15:21:00,0.97,98.0,980.0,Win,profit_target,mark<=target,2021-12-22,2,SPXW  211222P04425000,SPXW  211222P04400000
2021-12-27,09:45:00,4749.66,18.7,4660.0,4635.0,1.15,10,10:29:00,0.57,58.0,580.0,Win,profit_target,mark<=target,2021-12-29,2,SPXW  211229P04660000,SPXW  211229P04635000
2022-01-10,09:45:00,4624.72,21.4,4505.0,4480.0,1.67,10,10:15:00,3.4,-173.0,-1730.0,Loss,stop_loss,mark>=stop,2022-01-12,2,SPXW  220112P04505000,SPXW  220112P04480000
2022-01-12,09:45:00,4729.91,18.01,4640.0,4615.0,2.0,10,16:00:00,0.0,200.0,2000.0,Win,expiry,distance safe,2022-01-14,2,SPXW  220114P04640000,SPXW  220114P04615000
2022-01-19,09:45:00,4604.48,22.39,4480.0,4455.0,2.1,10,15:53:00,4.35,-225.0,-2250.0,Loss,stop_loss,mark>=stop,2022-01-21,2,SPXW  220121P04480000,SPXW  220121P04455000
2022-01-26,09:45:00,4406.65,29.45,4275.0,4250.0,2.0,10,09:54:00,1.0,100.0,1000.0,Win,profit_target,mark<=target,2022-01-26,0,SPXW  220126P04275000,SPXW  220126P04250000
2022-01-31,09:45:00,4436.29,27.87,4265.0,4240.0,2.0,10,10:23:00,1.0,100.0,1000.0,Win,profit_target,mark<=target,2022-02-02,2,SPXW  220202P04265000,SPXW  220202P04240000
2022-02-02,09:45:00,4564.96,21.88,4445.0,4420.0,2.0,10,14:46:00,1.0,100.0,1000.0,Win,profit_target,mark<=target,2022-02-04,2,SPXW  220204P04445000,SPXW  220204P04420000
2022-02-07,09:45:00,4506.92,23.44,4385.0,4360.0,2.0,10,15:12:00,1.0,100.0,1000.0,Win,profit_target,mark<=target,2022-02-09,2,SPXW  220209P04385000,SPXW  220209P04360000
2022-02-09,09:45:00,4573.06,20.52,4455.0,4430.0,1.7,10,16:00:00,0.0,170.0,1700.0,Win,expiry,distance safe,2022-02-11,2,SPXW  220211P04455000,SPXW  220211P04430000
2022-02-14,09:45:00,4411.93,29.64,4245.0,4220.0,2.0,10,16:00:00,0.0,200.0,2000.0,Win,expiry,distance safe,2022-02-16,2,SPXW  220216P04245000,SPXW  220216P04220000
2022-02-23,09:45:00,4331.22,28.32,4180.0,4155.0,1.95,10,11:05:00,3.95,-200.0,-2000.0,Loss,stop_loss,mark>=stop,2022-02-25,2,SPXW  220225P04180000,SPXW  220225P04155000
2022-02-25,09:45:00,4300.03,29.69,4190.0,4165.0,1.02,10,10:09:00,0.51,51.0,510.0,Win,profit_target,mark<=target,2022-02-25,0,SPXW  220225P04190000,SPXW  220225P04165000
2022-03-16,09:45:00,4325.48,28.33,4160.0,4135.0,2.0,10,14:31:00,4.2,-220.0,-2200.0,Loss,stop_loss,mark>=stop,2022-03-18,2,SPXW  220318P04160000,SPXW  220318P04135000
2022-03-21,09:45:00,4475.17,23.99,4360.0,4335.0,2.05,10,13:18:00,4.2,-215.0,-2150.0,Loss,stop_loss,mark>=stop,2022-03-23,2,SPXW  220323P04360000,SPXW  220323P04335000
2022-03-23,09:45:00,4481.82,23.69,4365.0,4340.0,1.75,10,16:00:00,0.0,175.0,1750.0,Win,expiry,distance safe,2022-03-25,2,SPXW  220325P04365000,SPXW  220325P04340000
2022-03-28,09:45:00,4542.16,21.67,4425.0,4400.0,1.33,10,14:11:00,0.67,66.0,660.0,Win,profit_target,mark<=target,2022-03-30,2,SPXW  220330P04425000,SPXW  220330P04400000
2022-03-30,09:45:00,4617.73,19.12,4530.0,4505.0,2.0,10,15:24:00,4.2,-220.0,-2200.0,Loss,stop_loss,mark>=stop,2022-04-01,2,SPXW  220401P04530000,SPXW  220401P04505000
2022-04-11,09:45:00,4455.46,22.94,4340.0,4315.0,1.65,10,15:46:00,3.3,-165.0,-1650.0,Loss,stop_loss,mark>=stop,2022-04-13,2,SPXW  220413P04340000,SPXW  220413P04315000
2022-04-18,09:45:00,4404.46,23.24,4290.0,4265.0,1.65,10,16:00:00,0.0,165.0,1650.0,Win,expiry,distance safe,2022-04-20,2,SPXW  220420P04290000,SPXW  220420P04265000
2022-04-20,09:45:00,4469.78,20.3,4355.0,4330.0,1.38,10,16:00:00,0.0,138.0,1380.0,Win,expiry,distance safe,2022-04-22,2,SPXW  220422P04355000,SPXW  220422P04330000
2022-04-25,09:45:00,4229.13,29.72,4085.0,4060.0,1.95,10,14:33:00,0.97,98.0,980.0,Win,profit_target,mark<=target,2022-04-27,2,SPXW  220427P04085000,SPXW  220427P04060000
2022-05-04,09:45:00,4179.92,28.83,4075.0,4050.0,1.92,10,12:40:00,0.96,96.0,960.0,Win,profit_target,mark<=target,2022-05-04,0,SPXW  220504P04075000,SPXW  220504P04050000
2022-05-13,09:45:00,3983.09,29.92,3880.0,3855.0,1.15,10,10:06:00,0.57,58.0,580.0,Win,profit_target,mark<=target,2022-05-13,0,SPXW  220513P03880000,SPXW  220513P03855000
2022-05-16,09:45:00,4004.01,29.08,3845.0,3820.0,2.05,10,13:29:00,1.02,103.0,1030.0,Win,profit_target,mark<=target,2022-05-18,2,SPXW  220518P03845000,SPXW  220518P03820000
2022-05-18,09:45:00,4026.19,27.9,3880.0,3855.0,2.0,10,11:31:00,4.2,-220.0,-2200.0,Loss,stop_loss,mark>=stop,2022-05-20,2,SPXW  220520P03880000,SPXW  220520P03855000
2022-05-23,09:45:00,3935.62,29.57,3775.0,3750.0,1.95,10,11:06:00,0.97,98.0,980.0,Win,profit_target,mark<=target,2022-05-25,2,SPXW  220525P03775000,SPXW  220525P03750000
2022-06-01,09:45:00,4152.41,25.86,4025.0,4000.0,2.05,10,10:20:00,4.1,-205.0,-2050.0,Loss,stop_loss,mark>=stop,2022-06-03,2,SPXW  220603P04025000,SPXW  220603P04000000
2022-06-06,09:45:00,4150.64,25.02,4040.0,4015.0,2.1,10,16:00:00,0.0,210.0,2100.0,Win,expiry,distance safe,2022-06-08,2,SPXW  220608P04040000,SPXW  220608P04015000
2022-06-08,09:45:00,4140.29,24.42,4015.0,3990.0,2.0,10,16:00:00,0.0,200.0,2000.0,Win,expiry,distance safe,2022-06-10,2,SPXW  220610P04015000,SPXW  220610P03990000
2022-06-27,09:45:00,3900.47,28.49,3775.0,3750.0,2.0,10,11:26:00,1.0,100.0,1000.0,Win,profit_target,mark<=target,2022-06-29,2,SPXW  220629P03775000,SPXW  220629P03750000
2022-06-29,09:45:00,3804.8,29.26,3675.0,3650.0,2.05,10,10:03:00,1.02,103.0,1030.0,Win,profit_target,mark<=target,2022-07-01,2,SPXW  220701P03675000,SPXW  220701P03650000
2022-07-11,09:45:00,3858.06,26.35,3730.0,3705.0,1.95,10,13:42:00,0.97,98.0,980.0,Win,profit_target,mark<=target,2022-07-13,2,SPXW  220713P03730000,SPXW  220713P03705000
2022-07-13,09:45:00,3777.82,28.34,3650.0,3625.0,1.95,10,10:45:00,0.97,98.0,980.0,Win,profit_target,mark<=target,2022-07-15,2,SPXW  220715P03650000,SPXW  220715P03625000
2022-07-18,09:45:00,3898.55,24.79,3800.0,3775.0,2.05,10,13:57:00,4.25,-220.0,-2200.0,Loss,stop_loss,mark>=stop,2022-07-20,2,SPXW  220720P03800000,SPXW  220720P03775000
2022-07-20,09:45:00,3936.28,24.37,3820.0,3795.0,1.95,10,10:48:00,0.97,98.0,980.0,Win,profit_target,mark<=target,2022-07-22,2,SPXW  220722P03820000,SPXW  220722P03795000
2022-07-25,09:45:00,3967.31,23.63,3845.0,3820.0,1.95,10,16:00:00,0.0,195.0,1950.0,Win,expiry,distance safe,2022-07-27,2,SPXW  220727P03845000,SPXW  220727P03820000
2022-07-27,09:45:00,3964.6,23.87,3820.0,3795.0,2.0,10,14:37:00,1.0,100.0,1000.0,Win,profit_target,mark<=target,2022-07-29,2,SPXW  220729P03820000,SPXW  220729P03795000
2022-08-01,09:45:00,4115.89,22.67,4010.0,3985.0,1.62,10,16:00:00,0.0,162.0,1620.0,Win,expiry,distance safe,2022-08-03,2,SPXW  220803P04010000,SPXW  220803P03985000
2022-08-03,09:45:00,4119.71,22.87,4015.0,3990.0,1.93,10,11:43:00,0.96,97.0,970.0,Win,profit_target,mark<=target,2022-08-05,2,SPXW  220805P04015000,SPXW  220805P03990000
2022-08-08,09:45:00,4180.24,21.44,4070.0,4045.0,2.0,10,12:18:00,4.1,-210.0,-2100.0,Loss,stop_loss,mark>=stop,2022-08-10,2,SPXW  220810P04070000,SPXW  220810P04045000
2022-08-10,09:45:00,4191.99,20.37,4085.0,4060.0,1.6,10,13:00:00,0.8,80.0,800.0,Win,profit_target,mark<=target,2022-08-12,2,SPXW  220812P04085000,SPXW  220812P04060000
2022-08-15,09:45:00,4261.77,20.71,4155.0,4130.0,1.0,10,11:36:00,0.5,50.0,500.0,Win,profit_target,mark<=target,2022-08-17,2,SPXW  220817P04155000,SPXW  220817P04130000
2022-08-22,09:45:00,4173.4,23.06,4065.0,4040.0,1.3,10,13:58:00,2.65,-135.0,-1350.0,Loss,stop_loss,mark>=stop,2022-08-24,2,SPXW  220824P04065000,SPXW  220824P04040000
2022-08-24,09:45:00,4131.27,23.58,4025.0,4000.0,2.12,10,11:53:00,1.06,106.0,1060.0,Win,profit_target,mark<=target,2022-08-26,2,SPXW  220826P04025000,SPXW  220826P04000000
2022-08-29,09:45:00,4036.8,26.88,3915.0,3890.0,2.05,10,12:52:00,1.02,103.0,1030.0,Win,profit_target,mark<=target,2022-08-31,2,SPXW  220831P03915000,SPXW  220831P03890000
2022-08-31,09:45:00,4010.7,25.61,3895.0,3870.0,2.0,10,11:08:00,4.0,-200.0,-2000.0,Loss,stop_loss,mark>=stop,2022-09-02,2,SPXW  220902P03895000,SPXW  220902P03870000
2022-09-07,09:45:00,3924.94,26.28,3805.0,3780.0,2.08,10,13:03:00,1.04,104.0,1040.0,Win,profit_target,mark<=target,2022-09-09,2,SPXW  220909P03805000,SPXW  220909P03780000
2022-09-12,09:45:00,4095.67,23.26,3980.0,3955.0,2.05,10,16:00:00,0.0,205.0,2050.0,Win,expiry,distance safe,2022-09-14,2,SPXW  220914P03980000,SPXW  220914P03955000
2022-09-14,09:45:00,3949.9,26.78,3830.0,3805.0,2.1,10,16:00:00,0.0,210.0,2100.0,Win,expiry,distance safe,2022-09-16,2,SPXW  220916P03830000,SPXW  220916P03805000
2022-09-19,09:45:00,3859.32,27.11,3715.0,3690.0,2.1,10,15:02:00,1.05,105.0,1050.0,Win,profit_target,mark<=target,2022-09-21,2,SPXW  220921P03715000,SPXW  220921P03690000
2022-09-21,09:45:00,3871.67,26.9,3765.0,3740.0,1.98,10,14:05:00,4.3,-232.0,-2320.0,Loss,stop_loss,mark>=stop,2022-09-21,0,SPXW  220921P03765000,SPXW  220921P03740000
2022-10-05,09:45:00,3749.01,29.91,3620.0,3595.0,2.05,10,12:50:00,1.02,103.0,1030.0,Win,profit_target,mark<=target,2022-10-07,2,SPXW  221007P03620000,SPXW  221007P03595000
2022-10-26,09:45:00,3829.01,28.02,3710.0,3685.0,2.05,10,10:29:00,1.02,103.0,1030.0,Win,profit_target,mark<=target,2022-10-28,2,SPXW  221028P03710000,SPXW  221028P03685000
2022-10-31,09:45:00,3881.33,26.91,3735.0,3710.0,1.95,10,15:41:00,0.97,98.0,980.0,Win,profit_target,mark<=target,2022-11-02,2,SPXW  221102P03735000,SPXW  221102P03710000
